DishTitle,Ingredients,Instructions,Published,Rating,Reviews
Grilled Scallions with Hot Sauce and Sesame Seeds,"8 scallions, trimmed, halved lengthwise,1 tablespoon olive oil,Kosher salt and freshly ground black pepper,Hot sauce and toasted sesame seeds (for serving)","Prepare a grill for medium-high heat. Toss scallions with oil on a rimmed baking sheet; season with salt and pepper.,Grill scallions on a grill topper, turning once, until well charred and tender at the thickest part, about 1 minute per side. Transfer to a platter; drizzle with hot sauce and top with toasted sesame seeds.",June 2015,3.1,
Strawberry-Lemon Lattice Pie,"Flakiest Pie Crust,All-purpose flour (for surface),1½ cups granulated sugar,¼ cup cornstarch,Pinch of kosher salt,2 pounds strawberries, hulled, quartered,2 lemons, very thinly sliced, seeds removed,1 tablespoon unseasoned rice vinegar,1 large egg,2 tablespoons demerara sugar","Roll out a disk of dough on a lightly floured surface to a 13"" round. Transfer round to a parchment-lined baking sheet and chill while you roll out remaining disk of dough to a 13"" round (about ¼"" thick). Cut second round into 4 strips, about 2 ¼"" wide. Stack strips on top of first round of dough, separating with a sheet of parchment. Chill while you prepare filling.,Preheat oven to 350°. Combine granulated sugar, cornstarch, and salt in a large bowl. Add strawberries, lemon slices, and vinegar. Toss to coat fruit evenly in sugar mixture, separating lemon slices that stick together.,Beat egg with 1 tsp. water in a small bowl just to blend. Lift parchment with strips of dough onto work surface. Using your hands, or wrapping dough around a floured rolling pin if you're nervous, carefully transfer round of dough to a 9"" pie dish. Lift up edges and allow dough to slump down into dish. Trim edges of dough with kitchen shears to even out, leaving at least a 2"" overhang (or, you can leave untrimmed if you want a rustic look); brush edge with half of egg wash. Scrape in strawberry filling along with any accumulated juices in bowl.,Lay 2 strips lengthwise over pie filling, then arrange remaining 2 strips crosswise across pie, working alternately over and under lengthwise strips to create a lattice pattern. Fold edge of bottom round up and over strips and press to seal. Brush dough with remaining egg wash; sprinkle with demerara sugar.,Place pie pan on a foil-lined rimmed baking sheet (juices may bubble over—this is what the foil is for). Bake until crust is deep golden brown on top and bottom and juices are bubbling, about 1 ½ hours. Transfer pie to a wire rack and let sit at least 4 hours before slicing.,Do Ahead:, Pie can be made 2 days ahead. Cover and chill.",June 2015,3.54,"This is a great pie!! I was skeptical about the lemon, but it worked very well (and was honestly my favorite part of the pie). It got kind of soggy, but I am very much an amateur pie-maker, so I'm sure that could have been prevented somehow. Also, despite it getting soggy, the top looked burned! My oven does run hot, so that was probably the problem. However, it still tasted great! I definitely recommend this recipe."
Grilled Split Lobster,"2 tablespoons vegetable oil, plus more for grill,2 1½-pound live lobsters,Kosher salt and freshly ground black pepper,Melted unsalted butter, hot sauce, and lemon wedges (for serving)","Prepare grill for medium-high heat; oil grate. Chill lobsters in freezer 15 minutes (this will slow down their nervous system—helpful for what comes next).,Working one at a time, transfer to a cutting board, belly side down, with head facing you. Using a kitchen towel, hold tail (it shouldn’t be very active now) and, starting where the tail meets the body, bisect body and head lengthwise in one fell swoop. Turn lobster around and cut lengthwise through tail. Remove any tomalley or eggs (reserving, if you’d like).,Immediately rub cut side of lobsters with 2 Tbsp. oil total; season with salt and pepper. Grill, cut side down, pressing claws against grill, until meat is nearly cooked through, 6–8 minutes. Turn and grill until shells are lightly charred and meat is cooked through (tail meat will look opaque and be firm), about 3 minutes. Remove lobsters from grill and serve with butter, hot sauce, and lemon wedges for squeezing over.",June 2015,3.11,
Lemony Salsa Verde,"½ lemon (with peel), seeded, chopped,1 small shallot, finely chopped,1 garlic clove, finely chopped,Kosher salt and freshly ground black pepper,1 cup olive oil,¾ cup finely chopped fresh parsley,½ cup finely chopped fresh cilantro,¼ cup chopped fresh chives,Fresh lemon juice (optional)","Combine lemon, shallot, and garlic in a medium bowl; season with salt and pepper. Let sit 5 minutes. Stir in oil, parsley, cilantro, and chives. Season with salt, pepper, and lemon juice, if desired.",June 2015,2.9,
Linguine with Green Olive Sauce and Zesty Breadcrumbs,"1 tablespoon plus ½ cup olive oil,¼ cup panko (Japanese breadcrumbs),Kosher salt and freshly ground black pepper,2 tablespoons chopped fresh dill,1 teaspoon finely grated lemon zest,12 ounces linguine or other long pasta,4 oil-packed anchovy fillets,1 small garlic clove,1 cup chopped fresh parsley,½ cup chopped fresh basil,1 cup green olives, pitted, halved,3 tablespoons drained capers,½ ounce Parmesan, finely grated (about ½ cup), plus more for serving,2 tablespoons fresh lemon juice","Heat 1 Tbsp. oil in a medium skillet over medium and cook panko, stirring, until golden, about 5 minutes. Season with salt and pepper; transfer to paper towels to drain and toss with dill and lemon zest.,Cook pasta in a large pot of boiling salted water, stirring occasionally, until al dente. Drain, reserving ½ cup pasta cooking liquid.,Meanwhile, mash anchovies and garlic to a paste on a cutting board with the side of a chef’s knife. Combine with parsley, basil, and half of olives and capers in a large bowl. Chop remaining olives and capers and add to bowl, along with remaining ½ cup oil. Mix well; season sauce with salt and pepper.,Add pasta and ¼ cup reserved pasta cooking liquid to sauce. Toss, adding Parmesan a bit at a time, along with more pasta cooking liquid as needed, until sauce coats pasta. Add lemon juice; season with salt and pepper.,Serve pasta topped with panko and more Parmesan.,Do Ahead:, Sauce can be made 1 day ahead. Cover with plastic wrap, pressing directly against surface, and chill.",June 2015,3.84,"Delightful!! Fresh and flavourful! Will make it again for sure :),Loved it!,Making for a second time in 2 weeks tonight! Thought it may be salty but was just right!,This is a great summertime pasta. Really light. I upped the anchovies and garlic a little bit, but my wife and I are freaks for both. ,I love making this dish in the spring. Briny, yet feels really fresh and bright."
"Grilled Clams with Aleppo Pepper, Tumeric, and Lime Butter","½ cup (1 stick) unsalted butter, room temperature,2 teaspoons Aleppo pepper or 1 crushed red pepper flakes,1 teaspoon finely grated peeled turmeric or ½ ground dried turmeric,1 teaspoon finely grated lime zest,Kosher salt,Grilled Clams,Cilantro leaves with tender stems (for serving)","Place butter, Aleppo pepper, and turmeric in a small bowl. Add lime zest and mix until well combined; season with salt.,Add butter to bowl with Grilled Clams and toss to coat. Transfer to a serving platter and top with cilantro.,Do Ahead:, Butter can be made 4 days ahead. Cover and chill; bring to room temperature before serving.",June 2015,3.9,
"Fruit Salad with Fennel, Watercress, and Smoked Salt","¼ cup olive oil,1 tablespoon fresh lemon juice,¼ teaspoon smoked or flaky sea salt,¼ small honeydew melon, rind removed, very thinly sliced,1 pluot or plum, sliced into thin wedges,½ cup halved pitted fresh cherries,½ cup unseasoned rice vinegar,½ small fennel bulb, thinly sliced,1 cup torn frisée,1 cup trimmed watercress,2 medium ruby red grapefruits, peel and white pith removed, flesh sliced into ¼-inch-thick rounds,Smoked or flaky sea salt,Freshly ground black pepper","Whisk oil, lemon juice, and salt in a small bowl to combine; set aside.,Toss melon, pluot, cherries, and vinegar in medium bowl. Let sit, tossing occasionally, until fruit is lightly pickled, 10–15 minutes; drain.,Toss fennel, frisée, and watercress with half of vinaigrette in a large bowl. Arrange grapefruits on a serving platter; sprinkle with smoked salt. Top with pickled fruit and scatter dressed fennel salad over.,Serve salad drizzled with remaining lemon vinaigrette and sprinkled with smoked salt and pepper.",June 2015,3.3,
Grilled Porcini-Rubbed Rack of Veal,"1½ teaspoons crushed red pepper flakes,¼ cup porcini mushroom powder (from about ¾ ounce dried mushrooms),2 tablespoons sugar,1 tablespoon kosher salt,1 tablespoon coarsely ground black pepper,1 5–6-pound six-bone rack of veal, chine bone removed (not frenched),¼ cup extra-virgin olive oil,Flaky sea salt,A spice mill or a mortar and pestle","Prepare grill for medium–high, indirect heat (for a charcoal grill, bank coals on one side of grill; for a gas grill, leave one or two burners off). Coarsely grind red pepper flakes in spice mill or with mortar and pestle. Combine ground red pepper flakes, porcini powder, sugar, kosher salt, and black pepper in a small bowl.,Rub veal all over with oil, followed by enough spice mixture to coat nicely (about ½ cup), patting to adhere.,Grill veal over direct heat, turning occasionally, until deeply browned all over, 15–20 minutes total. Move veal to indirect heat, placing bone side down, and grill, turning every 20 minutes or so, until an instant-read thermometer inserted into the thickest part of loin registers 115°, 1 ½–2 hours. (Check after 30 minutes—once thermometer registers 100°, the temperature will climb much faster.),Transfer veal to a cutting board and let rest 5 minutes. Cut loin from the bones in one piece. Slice between bones to separate and grill over direct heat, turning often, until crisped and well charred, about 5 minutes.,Grill loin over direct heat, cut side up, just to reheat slightly (do not grill the cut side), about 4 minutes. Slice loin ½"" thick and transfer to a platter. Sprinkle with sea salt and serve with bones alongside.,Do Ahead:, Veal can be grilled 2 hours ahead. Do not cut meat from bones; hold at room temperature. Grill over high to reheat, about 4 minutes, before finishing as directed above.",June 2015,,
Coconut Cream Pie with Macaroon Press-In Crust,"Nonstick vegetable oil spray,1 large egg white,1¾ cups unsweetened shredded coconut,¼ cup sugar,2 tablespoons unsalted butter, room temperature,¼ teaspoon kosher salt,2 ounces bittersweet chocolate, melted, slightly cooled,2 wide strips lime zest,1 pandan leaf (optional),1¾ cups whole milk,¾ cup unsweetened coconut milk,¼ cup raw skin-on almonds, coarsely chopped,2 tablespoons unsweetened shredded coconut,2 ounces bittersweet chocolate, melted, slightly cooled,3 large egg yolks,¼ cup cornstarch,¼ teaspoon kosher salt,½ cup plus 2 tablespoons sugar,2 tablespoons chilled unsalted butter,1 teaspoon fresh lime juice,1½ cups heavy cream","Preheat oven to 325°. Lightly coat a 9"" pie pan with nonstick spray. Mix egg white, coconut, sugar, butter, and salt with a rubber spatula in a large bowl until evenly combined and the consistency of a stiff paste. Using your hands, press mixture evenly onto bottom and up sides of pie pan. Bake until edges are golden brown and bottom is set and just barely golden, 15–20 minutes. Transfer pie pan to a wire rack (leave oven on to toast almonds and coconut) and let crust cool. Brush crust with melted chocolate.,Bring lime zest, pandan leaf (if using), milk, and coconut milk to a simmer in a medium saucepan. Cover and let sit off heat 30 minutes.,Meanwhile, toast almonds on a rimmed baking sheet, tossing once, until slightly darkened and fragrant, 8–10 minutes. Let cool. Toast coconut on same baking sheet, tossing once, until edges are golden, about 4 minutes.,Stir almonds into melted chocolate in a small bowl. Spread in an even layer on a sheet of parchment paper. Sprinkle toasted coconut over chocolate almonds and chill until firm, 8–10 minutes. Coarsely chop, then cover and chill.,Pluck out lime zest and pandan leaf from milk mixture; discard. Return milk mixture to a simmer. Whisk egg yolks, cornstarch, salt, and ½ cup sugar in a medium bowl to combine. Whisking constantly, gradually add ½ cup milk mixture to egg mixture. Whisking constantly, add egg mixture to milk mixture in saucepan and cook over medium heat until mixture is thickened and bubbling (it will look like thick pudding). Remove from heat and whisk in butter and lime juice.,Scrape custard into crust and press a piece of plastic wrap against surface. Chill until set, about 2 hours.,Just before serving, whip cream and remaining 2 Tbsp. sugar in a small bowl to medium-stiff peaks. Spoon over custard, leaving about a 1"" border, and swirl decoratively. Scatter chocolate-almond mixture around perimeter.,Do Ahead:, Pie (without whipped cream) can be made 3 days ahead; keep chilled.",May 2015,3.9,
Crab Cakes with Roasted Tomatillo Mayo,"3 medium tomatillos, husks removed, rinsed,1 tablespoon vegetable oil,Kosher salt and freshly ground black pepper,1 cup mayonnaise,1 tablespoon fresh lemon juice,2 large eggs, beaten to blend,1 pound lump crabmeat, picked over,2 teaspoons finely grated lemon zest,¼ cup fresh lemon juice,2 tablespoons finely chopped fresh chives,4 teaspoons crème fraîche,4 teaspoons mayonnaise,2 teaspoons piment d’Espelette,2 cups panko (Japanese breadcrumbs), divided,Kosher salt and freshly ground black pepper,Vegetable oil (for cooking; about 5 tablespoons),Lemon wedges (for serving)","Preheat oven to 450°. Toss tomatillos and oil on a rimmed baking sheet; season with salt and pepper. Roast, tossing once, until skins are blistered in spots and beginning to separate from flesh, 15−20 minutes. Let cool, then purée in a food processor until smooth; transfer to a medium bowl. Stir in mayonnaise and lemon juice; season with salt and pepper. Cover and chill.,Place eggs, crabmeat, lemon zest, lemon juice, chives, crème fraîche, mayonnaise, piment d’Espelette, and ⅔ cup panko in a medium bowl; season with salt and pepper. Gently stir until mixture comes together (it will be slightly wet). Cover and chill until cold, about 30 minutes.,Place remaining panko in a shallow bowl. Using wet hands, form about 2 Tbsp. crab mixture into a ¾""-thick cake. Repeat to make about 20 cakes. Coat in panko, pressing gently to adhere.,Heat 1 Tbsp. oil in a medium skillet over medium. Working in a few batches and adding 1 Tbsp. oil to skillet in between, cook until deep golden brown, about 2 minutes per side. Transfer to paper towels to drain; season with salt. Serve crab cakes with mayo and lemon wedges.",May 2015,2.9,
Grilled Steak Salad with Beets and Scallions,"½ cup beef or chicken stock or low-sodium chicken broth,1 large egg yolk*,1 teaspoon Dijon mustard,½ cup vegetable oil,2 teaspoons fresh lemon juice,1 small garlic clove, finely grated,Kosher salt and freshly ground black pepper,1 pound tri-tip, New York strip, or skirt steak,1 garlic clove, halved,4 tablespoons olive oil, divided,Kosher salt and freshly ground black pepper,1 bunch scallions or ramps,1 bunch spicy greens (such as arugula or mizuna),1 tablespoon fresh lemon juice,3 beets, peeled, thinly sliced,1 tablespoon balsamic vinegar","Bring stock to a simmer in a small saucepan over medium-low heat; cook until reduced by half, about 5 minutes.,Whisk egg yolk and mustard in a bowl. Whisking constantly, gradually add oil, drop by drop at first, until mixture is very thick. Whisk in lemon juice and garlic; season with salt and pepper. Stir in stock.,Preheat oven to 200°. Prepare grill for medium-high heat (or heat a grill pan over medium-high). Rub steak with cut sides of garlic and 1 Tbsp. oil; season with salt and pepper. Grill, turning several times, until lightly charred and medium-rare (an instant-read thermometer should register 130°), 14–16 minutes. Transfer to a rack set inside a rimmed baking sheet.,Meanwhile, toss scallions on another baking sheet with 1 Tbsp. oil; season with salt and pepper. Grill, turning often, until tender, about 4 minutes. Transfer to rack with beef and keep warm in oven.,Arrange greens on a platter; season with salt and pepper. Drizzle with lemon juice and 1 Tbsp. oil. Toss beets in a bowl with vinegar and remaining 1 Tbsp. oil; season with salt and pepper. Arrange over greens. Slice steak ½” thick; top greens with scallions and meat. Pour any juices over; season with salt. Serve with aioli.,*Raw egg is not recommended for the elderly, pregnant women, children under 4, and people with weakened immune systems.",May 2015,3.8,
Strawberry-Almond Cornmeal Cake,"½ cup raw skin-on almonds,2 ounces freeze-dried strawberries,¾ cup all-purpose flour,½ cup granulated sugar,¼ teaspoon kosher salt,½ cup (1 stick) chilled unsalted butter, cut into pieces,Nonstick vegetable oil spray,1¼ cups all-purpose flour,⅓ cup cornmeal,1½ teaspoons baking powder,½ teaspoon kosher salt,6 ounces almond paste,1 cup granulated sugar,¾ cup (1½ sticks) unsalted butter, room temperature,3 large eggs,1 pound strawberries, hulled, half halved, half quartered,Powdered sugar (for serving),A 9"" springform pan","Pulse almonds in a food processor until about the size of grains of rice. Add strawberries and pulse to a coarse powder. Add flour, sugar, and salt and pulse just to blend. Add butter and process until no dry spots remain.,Preheat oven to 350°. Coat pan with nonstick spray. Whisk flour, cornmeal, baking powder, and salt in a medium bowl. Using an electric mixer on medium speed, break up almond paste in a large bowl until crumbly. Add sugar and butter and mix until blended, about 2 minutes. Add eggs one at a time, mixing well to incorporate after each addition. Increase speed to medium-high and beat until mixture is light and fluffy, about 3 minutes. Reduce speed to low and mix in dry ingredients.,Scrape batter into pan; scatter strawberries over top, followed by clumps of crumble. Bake cake until top is golden brown and a tester inserted into the center comes out clean, 80–90 minutes. Let cool in pan before unmolding. Dust with powdered sugar just before serving.,Do Ahead:, Cake can be baked 2 days ahead. Store tightly wrapped at room temperature.",May 2015,3.6,
Green Juice with Baobab Powder,"1 small green cabbage, outer leaves removed, cut into thin wedges,1 medium fennel bulb, cored, cut into quarters,2 green apples, halved,4 celery stalks,1 lemongrass stalk, tough outer layers removed, root end trimmed (pale-green parts only),1 2-inch piece ginger, peeled,2 teaspoons baobab powder (optional)","Pass cabbage, fennel, apples, celery, lemongrass, and ginger through a juicer. Transfer juice to an airtight container; cover and chill until cold.,Just before serving, add baobab powder to juice and stir until dissolved. Divide juice among glasses.",May 2015,3.4,
"Baked Snapper with Harissa, New Potatoes, and Spring Onions","6 tablespoons olive oil,2 tablespoons harissa paste,6 spring onions, halved lengthwise, or 8 scallions (left whole),1 pound new potatoes or small potatoes, scrubbed, thinly sliced,Kosher salt and freshly ground black pepper,1½ pounds skin-on snapper fillets (3–4),Lemon wedges (for serving)","Place an oven rack in upper third of oven; preheat to 425°. Combine oil and harissa in a small bowl; adjust flavor with more harissa if needed (spiciness and flavor vary from brand to brand).,Toss onions and potatoes with half of harissa mixture in a large baking dish; season with salt and pepper, then add ¼ cup water. Roast, tossing once, until potatoes are fork-tender, 20–25 minutes.,Meanwhile, score skin side of fillets about ¼"" deep; season with salt and pepper. Rub remaining harissa mixture all over fish, getting into the score marks.,Remove onions and potatoes from oven and heat broiler. Place fish skin side up on top of vegetables and broil until onions and potatoes are tender and fish is cooked through and starting to brown on top, 8–10 minutes.,Serve fish and vegetables with lemon wedges for squeezing over.",May 2015,4.5,
Curry-and-Coconut-Milk-Grilled Pork Skewers,"1 13.5-ounce can unsweetened coconut milk,2 tablespoons fish sauce,2 tablespoons Thai thin soy sauce,1 tablespoon sugar,1 teaspoon kosher salt,¾ teaspoon freshly ground white pepper,½ teaspoon curry powder,½ teaspoon ground turmeric,¾ cup sweetened condensed milk,1½ pounds boneless pork shoulder (Boston butt), cut into 4x½-inch strips,4 ounces fatback, cut into ½-inch pieces,Twelve 8"" bamboo skewers soaked in water at least 1 hour","Bring coconut milk, fish sauce, soy sauce, sugar, salt, pepper, curry powder, and turmeric to a boil in a medium saucepan, stirring occasionally; reduce heat and simmer until sauce is bubbling and flavors have melded, 10–15 minutes. Transfer to a large bowl; let cool slightly, then stir in condensed milk. Taste sauce; it should be sweet, salty, and peppery. Season with salt and pepper if needed. Add pork and toss, massaging meat with your hands. Cover and chill 1 hour.,Prepare grill for medium-high heat. Thread a piece of fatback onto middle of each skewer, then thread on a piece of pork so one end of pork touches fat and other is at pointy end of skewer. Grill, turning occasionally, until lightly charred and cooked through, about 4 minutes.",May 2015,3.2,
Pan-Grilled Black Bass with Flavored Butters,"1 pound broccolini or broccoli rabe, trimmed,Kosher salt,2 tablespoons unsalted butter,1 teaspoon finely grated lemon zest,½ teaspoon crushed red pepper flakes,Freshly ground black pepper,4 6-ounce black bass or trout fillets or skinless cod or haddock fillets,1 cup all-purpose flour,Kosher salt and freshly ground black pepper,6 tablespoons unsalted butter, room temperature, divided,Mâitre d'Hôtel Butter, Nasturtium Butter, and Chile Cilantro Butter (for serving)","Cook broccolini in a pot of boiling salted water just until tender, about 3 minutes. Drain and transfer to a bowl of ice water; let cool. Drain and pat dry with paper towels.,Heat butter in a medium skillet over medium until foaming. Add broccolini, lemon zest, and red pepper flakes; season with salt and pepper. Cook, tossing, just until broccolini is warmed through and coated in butter.,Heat a grill pan over medium-high until hot but not smoking. Pat black bass fillets dry; this will help keep the fish from sticking to the pan while cooking. Place flour on a plate and season generously with salt and pepper (you are not seasoning the fish itself). Working one at a time, dredge fillets in flour, shaking off excess. Spread butter over flesh side of fillets as if buttering a slice of bread.,Add fillets, flesh side down, to pan; they should sizzle upon contact. Cook just until grill marks appear and butter is browned, about 1 minute. Turn and cook, pressing gently so entire skin side is in contact with the pan’s ridges, until skin is browned and crisp and fillets are cooked through, about 4 minutes longer.,Serve black bass fillets with broccolini and flavored butters, which will soften on contact with the warm fish.",May 2015,5,
Red Salad with Pickled Beet Vinaigrette,"6 baby red beets, trimmed, scrubbed,2 whole star anise pods,2 cups verjus,1 teaspoon kosher salt,2 tablespoons raw pumpkin seeds (pepitas),2 anchovy fillets packed in oil,1 garlic clove, finely grated,⅓ cup grated Parmesan,¼ cup basil leaves,¼ cup olive oil,2 tablespoons fresh lemon juice,Kosher salt and freshly ground black pepper,Mixed red and purple raw fruits and vegetables (such as tomatoes, plums, berries, radishes, beets, rainbow carrots, and watermelon), halved, sliced, and/or cut into wedges,Verjus is a tart juice made from unripe grapes. You can find it at specialty foods stores and online.","Bring beets, star anise, verjus, salt, and 1 cup water to a simmer in a small saucepan over medium heat. Reduce heat to medium-low and cook beets, adding water as needed to keep them covered, until tender, 30−40 minutes. Let cool.,Remove beets from brine with a slotted spoon and rub with paper towels to remove skins. Set beets aside. Reserve brine separately.,Do Ahead:, Beets can be pickled 3 days ahead. Return beets to brine; cover and chill.,Toast pumpkin seeds in a dry small skillet over medium-high heat, tossing occasionally, until golden brown and puffed, about 3 minutes. Let cool.,Process anchovies, garlic, Parmesan, basil, oil, lemon juice, and 2 pickled beets in a food processor until smooth; season with salt and pepper. With motor running, thin vinaigrette with reserved brine to a pourable consistency. Add pumpkin seeds and pulse until coarsely ground.,To serve, spoon some vinaigrette into a shallow bowl and arrange fruits and vegetables of choice on top. Season with salt and pepper.,Do Ahead:, Vinaigrette can be made 2 days ahead. Cover and chill.",May 2015,5,
"Poached Eggs with Mushroom, Tamarillo, and Sage","1 teaspoon distilled white vinegar,4 large eggs,6 tablespoons unsalted butter, divided,8 ounces shiitake mushrooms, stems removed, torn into pieces,8 ounces oyster mushrooms, trimmed, torn into pieces,Kosher salt and freshly ground black pepper,2 tablespoons fresh lemon juice, divided,¼ cup sage leaves,8 tamarillos, peeled, thinly sliced, or 4 medium heirloom tomatoes, cored, thinly sliced (or a mix of both),2 ounces Parmesan, shaved,Flaky sea salt","Bring 2"" water to a boil in a large saucepan; reduce heat to a gentle simmer and add vinegar. Crack an egg into a small bowl; gently slide egg into water. Repeat with remaining eggs, waiting until whites start to set before adding the next. Poach until whites are set and yolks are still runny, about 2 minutes. Using a slotted spoon, transfer eggs as they are done to paper towels.,Heat 2 Tbsp. butter in a large skillet over medium-high. Add half of both mushrooms; season with kosher salt and pepper. Cook, tossing occasionally, until mushrooms are tender and browned, about 5 minutes. Transfer to a plate. Repeat with remaining mushrooms and another 2 Tbsp. butter; transfer to same plate. Drizzle with 1 Tbsp. lemon juice.,Heat remaining 2 Tbsp. butter in same skillet over medium-high; cook sage, shaking skillet, until fragrant and crisp, about 2 minutes. Transfer to paper towels with a slotted spoon. Reserve skillet.,Divide tamarillo slices among plates, arranging so they overlap; season with kosher salt and pepper. Drizzle with remaining 1 Tbsp. lemon juice.,If butter has started to solidify, return mushrooms to reserved skillet and gently reheat over medium, tossing. Using a slotted spoon, spoon mushrooms over tamarillos, top with poached eggs, fried sage, and Parmesan. Season with sea salt and more pepper. Drizzle any butter in skillet over eggs.",May 2015,,
Roast Chicken with Rhubarb Butter and Asparagus,"1 large rhubarb stalk, cut into ½-inch pieces,¼ cup fresh orange juice,2 tablespoons honey,1 tablespoon finely grated peeled ginger,½ cup (1 stick) unsalted butter, room temperature,Kosher salt and freshly ground black pepper,1 3½–4-pound chicken, backbone removed, chicken patted dry,2 tablespoons olive oil, divided,1 tablespoon fresh thyme leaves,1 bunch asparagus, trimmed,2 lemons, halved","Bring rhubarb, orange juice, honey, and ginger to a simmer in a small saucepan over medium-low heat. Cook, stirring occasionally, until rhubarb is soft but not falling apart, about 5 minutes. Drain over a small bowl. Reserve cooking liquid and rhubarb separately; let cool.,Mix rhubarb and butter in a small bowl until smooth; season with salt and pepper. Set aside 1 Tbsp. rhubarb butter for vegetables.,Preheat oven to 400°. Place chicken, skin side up, on a rimmed baking sheet. Gently slide your fingers underneath skin to loosen and rub flesh all over with remaining rhubarb butter (try not to tear skin). Drizzle chicken with 1 Tbsp. oil and some of the reserved rhubarb cooking liquid, scatter thyme over, and season with salt and pepper.,Roast chicken until skin is browned and crisp and meat is cooked through (juices will run clear and an instant-read thermometer inserted into the thickest part of a thigh should register 165°), 40−50 minutes. Let rest 10 minutes.,Meanwhile, prepare grill for medium-high heat (or heat a grill pan over medium-high). Toss asparagus in a large bowl with remaining 1 Tbsp. oil; season with salt and pepper. Grill asparagus and lemons (cut side down), turning asparagus often, until stalks are just tender, 2−3 minutes. Let lemon halves cool.,Toss asparagus with reserved rhubarb butter. Serve chicken and asparagus with any pan juices drizzled over with grilled lemons for squeezing over.",May 2015,3.9,
Sherry Cobbler,"1 orange wheel, plus ½ wheel for serving,1 lemon wheel, plus ½ wheel for serving,¾ ounce simple syrup,3 ounces dry amontillado Sherry,Mint sprigs and a raspberry (for serving)","Muddle 1 orange wheel, 1 lemon wheel, and simple syrup in a pint glass. Add Sherry and pour into a cocktail shaker filled with ice cubes. Cover; shake vigorously until outside is frosty, about 30 seconds.,Strain into a highball glass filled with crushed ice. Add more crushed ice, packing into glass and mounding above rim. Garnish with mint, raspberry, ½ orange wheel, and ½ lemon wheel.",May 2015,,
BA's Best Breakfast Sandwich,"Unsalted butter,1 English muffin, split,1 BA Breakfast Sausage patty,2 slices American cheese,2 large eggs, beaten to blend,Kosher salt and freshly ground black pepper,Handful of chopped fresh chives,Hot sauce and honey (for serving; optional)","Generously butter each half of English muffin on both sides. Heat a large griddle or cast-iron skillet over medium.,Toast muffin on griddle, cut side down, pressing slightly until golden brown, about 3 minutes. Flip and toast on other side, pressing slightly until golden brown on other side, about 3 minutes.,Meanwhile, cook BA Breakfast Sausage patty on griddle until browned on 1 side, about 2 minutes.,Flip and top with American cheese; cook until sausage is cooked through and cheese starts to melt, about 2 minutes. Turn off heat; keep muffin and sausage on warm griddle while you make the eggs.,Heat a knob of butter in a small nonstick skillet (6"" is ideal) over medium. Add eggs and season with salt and pepper.,Using a heatproof rubber spatula, cook, lifting edges and tilting skillet to let uncooked egg run underneath, until mostly set but still slightly runny on top, about 2 minutes.,Top with chives and fold eggs over to make a half moon; fold in half again.,To serve, top bottom half of English muffin with egg, then sausage. Drizzle with hot sauce and honey, if desired. Close sandwich and stuff your face, cutlery not encouraged.",May 2015,4.28,"They were not kidding when the labeled the breakfast sausage and the sandwich as B.A.'s best. Would definitely encourage adding honey as it really blends well with the sausage. Made this as a part of a bday breakfast for my girlfriend and she was very happy and full afterwards!,I like putting the cheese inside the egg/omelette situation. I make this all the time with frozen sausage patties or bacon. I like chives but this sandwich seems purer without them. ,Life Hack: Use pork roll instead of sausage. The sausage still rules though. And the American cheese is non-negotiable. The sandwich isn't the same without it. "
Lahore Deli's Chai,"4 green cardamom pods, crushed,½ teaspoon fennel seeds, crushed,4 cups whole milk,5 teaspoons or 5 bags strong black tea (such as Lipton),Sugar, maple syrup, or honey (for serving)","Bring cardamom, fennel seeds, and 1 cup water to a boil in a medium saucepan over medium-high heat. Boil 5 minutes, then reduce heat to medium and whisk in milk and add tea (if using bags, cut open and add tea loose). Simmer, whisking occasionally, until tea is fragrant and a creamy light brown, 8−10 minutes. Strain through a fine-mesh sieve; discard solids. Sweeten tea as desired.",May 2015,3.48,I think this could use a little extra kick through adding more spices to the mix. It tasted pretty good but not what I would have expected from a chai drink.
